# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
CentOS-71-64-minimal;60;1430927873;20441428;45255504;68.89;128908;42742884;2781280;2.80;29134012;14032540;242144
CentOS-71-64-minimal;60;1430927933;19074468;46622464;70.97;129008;44021700;2825932;2.85;29307812;15156712;525208
CentOS-71-64-minimal;60;1430927993;17860772;47836160;72.81;129128;45146372;2862152;2.88;30298216;15315288;89160
CentOS-71-64-minimal;60;1430928053;16743956;48952976;74.51;129408;46197960;2846232;2.87;30433756;16251552;35644
CentOS-71-64-minimal;60;1430928113;16072772;49624160;75.53;129692;46837804;2889332;2.91;31086236;16250104;586200
CentOS-71-64-minimal;60;1430928173;15501328;50195604;76.40;129908;47403012;2931908;2.95;31480392;16408344;130632
CentOS-71-64-minimal;60;1430928233;14683312;51013620;77.65;129980;48180684;2931884;2.95;31628044;17057144;243156
CentOS-71-64-minimal;60;1430928293;14014060;51682872;78.67;130052;48844468;2913940;2.94;31928568;17408252;508060
CentOS-71-64-minimal;60;1430928353;13254296;52442636;79.83;130144;49586216;2872892;2.89;32405720;17668168;68020
CentOS-71-64-minimal;60;1430928413;12422988;53273944;81.09;130200;50371984;2932160;2.95;33525892;17358492;672756
