ctime,datname,pid,usesysid,usename,application_name,client_addr,client_port,backend_start,xact_start,query_start,waiting,query,state,state_change
1430927813.49655,dbt2,56811,10,mark,dbt2-client,,-1,2015-05-06 17:56:52.205721+02,,2015-05-06 17:56:53.49007+02,f,COMMIT,idle,2015-05-06 17:56:53.490099+02
1430927813.49655,dbt2,56815,10,mark,dbt2-client,,-1,2015-05-06 17:56:52.30566+02,,2015-05-06 17:56:53.485336+02,f,COMMIT,idle,2015-05-06 17:56:53.485825+02
1430927813.49655,dbt2,56817,10,mark,dbt2-client,,-1,2015-05-06 17:56:52.405815+02,,2015-05-06 17:56:53.485971+02,f,COMMIT,idle,2015-05-06 17:56:53.486+02
1430927813.49655,dbt2,56819,10,mark,dbt2-client,,-1,2015-05-06 17:56:52.50597+02,,2015-05-06 17:56:53.491929+02,f,COMMIT,idle,2015-05-06 17:56:53.493124+02
1430927813.49655,dbt2,56821,10,mark,dbt2-client,,-1,2015-05-06 17:56:52.606111+02,,2015-05-06 17:56:53.487925+02,f,COMMIT,idle,2015-05-06 17:56:53.487953+02
1430927813.49655,dbt2,56823,10,mark,dbt2-client,,-1,2015-05-06 17:56:52.706277+02,,2015-05-06 17:56:53.49329+02,f,COMMIT,idle,2015-05-06 17:56:53.493827+02
1430927813.49655,dbt2,56825,10,mark,dbt2-client,,-1,2015-05-06 17:56:52.806424+02,,2015-05-06 17:56:53.498153+02,f,COMMIT,idle,2015-05-06 17:56:53.498651+02
1430927813.49655,dbt2,56827,10,mark,dbt2-client,,-1,2015-05-06 17:56:52.906593+02,2015-05-06 17:56:53.497045+02,2015-05-06 17:56:53.497339+02,f,FETCH ALL IN mycursor,active,2015-05-06 17:56:53.497341+02
1430927813.49655,dbt2,56829,10,mark,dbt2-client,,-1,2015-05-06 17:56:53.00673+02,,2015-05-06 17:56:53.496176+02,f,COMMIT,idle,2015-05-06 17:56:53.496818+02
1430927813.49655,dbt2,56831,10,mark,dbt2-client,,-1,2015-05-06 17:56:53.106887+02,,2015-05-06 17:56:53.482364+02,f,COMMIT,idle,2015-05-06 17:56:53.483436+02
1430927813.49655,dbt2,56833,10,mark,dbt2-client,,-1,2015-05-06 17:56:53.207017+02,,2015-05-06 17:56:53.485102+02,f,COMMIT,idle,2015-05-06 17:56:53.485656+02
1430927813.49655,dbt2,56894,10,mark,dbt2-client,,-1,2015-05-06 17:56:53.307111+02,2015-05-06 17:56:53.498898+02,2015-05-06 17:56:53.498996+02,f,"SELECT payment(1, 5, 0, 1, 5, 'PRIATIONPRI', 4408.260000)",active,2015-05-06 17:56:53.498998+02
1430927813.49655,dbt2,56958,10,mark,psql,,-1,2015-05-06 17:56:53.493972+02,2015-05-06 17:56:53.49631+02,2015-05-06 17:56:53.49631+02,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, relname, pid, mode, granted FROM pg_locks, pg_class WHERE relfilenode = relation ORDER BY relname) TO STDOUT (FORMAT CSV, HEADER);",active,2015-05-06 17:56:53.496317+02
1430927813.49655,dbt2,56927,10,mark,dbt2-client,,-1,2015-05-06 17:56:53.407173+02,2015-05-06 17:56:53.493355+02,2015-05-06 17:56:53.493787+02,f,FETCH ALL IN mycursor,active,2015-05-06 17:56:53.493789+02
1430927813.49655,dbt2,56959,10,mark,psql,,-1,2015-05-06 17:56:53.494154+02,2015-05-06 17:56:53.496545+02,2015-05-06 17:56:53.496545+02,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, pid, usesysid, usename, application_name, client_addr, client_port, backend_start, xact_start, query_start, waiting, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV, HEADER);",active,2015-05-06 17:56:53.496551+02
1430927813.49655,dbt2,56960,10,mark,psql,,-1,2015-05-06 17:56:53.494287+02,2015-05-06 17:56:53.496616+02,2015-05-06 17:56:53.496616+02,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, numbackends, xact_commit, xact_rollback, blks_read, blks_hit, tup_returned, tup_fetched, tup_inserted, tup_updated, tup_deleted FROM pg_stat_database) TO STDOUT (FORMAT CSV, HEADER);",active,2015-05-06 17:56:53.496623+02
1430927813.49655,dbt2,56961,10,mark,psql,,-1,2015-05-06 17:56:53.494435+02,2015-05-06 17:56:53.496797+02,2015-05-06 17:56:53.496797+02,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, seq_scan, seq_tup_read, idx_scan, idx_tup_fetch, n_tup_ins, n_tup_upd, n_tup_del, n_tup_hot_upd, n_live_tup, n_dead_tup, heap_blks_read, heap_blks_hit, idx_blks_read, idx_blks_hit, toast_blks_read, toast_blks_hit, tidx_blks_read, tidx_blks_hit FROM pg_statio_all_tables a, pg_stat_all_tables b WHERE a.relid = b.relid) TO STDOUT (FORMAT CSV, HEADER);",active,2015-05-06 17:56:53.496804+02
1430927813.49655,dbt2,56962,10,mark,psql,,-1,2015-05-06 17:56:53.495429+02,2015-05-06 17:56:53.497829+02,2015-05-06 17:56:53.497829+02,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, a.indexrelname, idx_scan, idx_tup_read, idx_tup_fetch, idx_blks_read, idx_blks_hit FROM pg_stat_all_indexes a, pg_statio_all_indexes b WHERE a.indexrelid = b.indexrelid) TO STDOUT (FORMAT CSV, HEADER);",active,2015-05-06 17:56:53.497836+02
1430927873.5079,dbt2,56811,10,mark,dbt2-client,,-1,2015-05-06 17:56:52.205721+02,2015-05-06 17:57:53.442674+02,2015-05-06 17:57:53.505654+02,f,COMMIT,active,2015-05-06 17:57:53.505655+02
1430927873.5079,dbt2,56815,10,mark,dbt2-client,,-1,2015-05-06 17:56:52.30566+02,2015-05-06 17:57:53.446388+02,2015-05-06 17:57:53.446634+02,t,"SELECT payment(7, 5, 0, 7, 5, 'CALLYANTICALLY', 2388.330000)",active,2015-05-06 17:57:53.446635+02
1430927873.5079,dbt2,56817,10,mark,dbt2-client,,-1,2015-05-06 17:56:52.405815+02,2015-05-06 17:57:53.481161+02,2015-05-06 17:57:53.481208+02,t,"SELECT payment(1, 2, 0, 1, 2, 'CALLYANTIPRI', 2683.090000)",active,2015-05-06 17:57:53.481209+02
1430927873.5079,dbt2,56819,10,mark,dbt2-client,,-1,2015-05-06 17:56:52.50597+02,2015-05-06 17:57:53.509541+02,2015-05-06 17:57:53.509597+02,f,"SELECT payment(2, 5, 0, 2, 5, 'ANTIBARESE', 4374.210000)",active,2015-05-06 17:57:53.509598+02
1430927873.5079,dbt2,56821,10,mark,dbt2-client,,-1,2015-05-06 17:56:52.606111+02,2015-05-06 17:57:53.479408+02,2015-05-06 17:57:53.479447+02,t,"SELECT payment(4, 1, 2001, 4, 1, '', 1011.040000)",active,2015-05-06 17:57:53.479448+02
